size_kb,decompress_time_sec
14430.000,4.626
14440.000,4.587
14450.000,4.656
14460.000,4.553
14470.000,4.635
14480.000,4.660
14490.000,4.681
14500.000,4.636
14510.000,4.607
14520.000,4.626
14530.000,4.670
14540.000,4.619
14550.000,4.528
14560.000,4.676
14570.000,4.639
14580.000,4.643
14590.000,4.572
14600.000,4.651
14610.000,4.615
14620.000,4.660
14630.000,4.568
14640.000,4.661
14650.000,4.717
14660.000,4.571
14670.000,4.725
14680.000,4.631
14690.000,4.710
14700.000,4.692
14710.000,4.663
14720.000,4.693
14730.000,4.717
14740.000,4.638
14750.000,4.626
14760.000,4.687
14770.000,4.709
14780.000,4.710
14790.000,4.711
14800.000,4.654
14810.000,4.728
14820.000,4.619
14830.000,4.690
14840.000,4.604
14850.000,4.655
14860.000,4.673
14870.000,4.684
14880.000,4.741
14890.000,4.686
14900.000,4.699
14910.000,4.664
14920.000,4.690
14930.000,4.669
14940.000,4.648
14950.000,4.736
14960.000,4.745
14970.000,4.739
14980.000,4.719
14990.000,4.709
15000.000,4.791
15010.000,4.740
15020.000,4.737
15030.000,4.666
15040.000,4.726
15050.000,4.731
15060.000,4.745
15070.000,4.787
15080.000,4.779
15090.000,4.787
15100.000,4.816
15110.000,4.821
15120.000,4.816
15130.000,4.858
15140.000,4.712
15150.000,4.748
15160.000,4.720
15170.000,4.824
15180.000,4.869
15190.000,4.764
15200.000,4.876
15210.000,4.746
15220.000,4.896
15230.000,4.805
15240.000,4.764
15250.000,4.830
15260.000,4.796
15270.000,4.807
15280.000,4.818
15290.000,4.903
15300.000,4.864
15310.000,4.830
15320.000,4.877
15330.000,4.894
15340.000,4.819
15350.000,4.845
15360.000,4.799
15370.000,4.817
15380.000,4.901
15390.000,4.830
15400.000,4.885
15410.000,4.918
15420.000,4.815
15430.000,4.888
15440.000,4.841
15450.000,4.961
15460.000,4.888
15470.000,4.934
15480.000,4.890
15490.000,4.813
15500.000,4.913
15510.000,4.967
15520.000,4.907
15530.000,4.943
15540.000,4.964
15550.000,4.867
15560.000,4.866
15570.000,4.933
15580.000,4.902
